Dataset,Model,Confidence,VaR,ViolationRate,Kupiec_p,Independence_p,ViolRate_Crisis,ViolRate_NonCrisis,N
S&P 500,Normal,0.95,0.0173941638482885,0.04985660710346349,0.950026316800811,1.3422396194506803e-08,0.25412541254125415,0.04279356384799726,9066
S&P 500,Normal,0.99,0.0247366965991073,0.02183984116479153,0.0,1.9670369777458063e-09,0.1848184818481848,0.016204496177108296,9066
S&P 500,Student-t,0.95,0.0151636804961814,0.06629163909110965,1.0894951607554049e-11,5.597226571119052e-09,0.27722772277227725,0.058998060025105555,9066
S&P 500,Student-t,0.99,0.030336522689005,0.01213324509155085,0.04823411228433061,7.807251523050951e-08,0.15841584158415842,0.007075202556202214,9066
S&P 500,EVT-GPD Rolling,0.95,,0.05715348375898835,0.003914700796019188,2.3077928901216183e-08,0.23432343234323433,0.050238309931727426,8066
S&P 500,EVT-GPD Rolling,0.99,,0.01462930820728986,9.273446021595966e-05,5.977127325573761e-05,0.10891089108910891,0.010949375241530336,8066
NASDAQ,Normal,0.95,0.0239141973630558,0.04918394353771504,0.7207306943874112,2.138578203414454e-11,0.20462046204620463,0.04381061038220194,9068
NASDAQ,Normal,0.99,0.0340025861531453,0.019078076753418615,1.1546319456101628e-14,1.953089723283341e-07,0.1353135313531353,0.015059897318881917,9068
NASDAQ,Student-t,0.95,0.0205047493763928,0.06793118659020732,9.525713551283843e-14,2.0239365738916604e-13,0.23432343234323433,0.06217912150598973,9068
NASDAQ,Student-t,0.99,0.0414355592255861,0.010255844728716365,0.807358203500282,3.857690116237933e-07,0.0924092409240924,0.007415858528237307,9068
NASDAQ,EVT-GPD Rolling,0.95,,0.0606098165592464,2.2560814767924597e-05,2.6834027422317774e-07,0.22112211221122113,0.05434642627173213,8068
NASDAQ,EVT-GPD Rolling,0.99,,0.014253842340109072,0.00030667091771297006,6.497360698354271e-07,0.09900990099009901,0.010946555054732776,8068
DOW JONES,Normal,0.95,0.0168517350017661,0.04643723803220825,0.11535888265630934,2.321765002477605e-11,0.24422442244224424,0.03959831108068013,9066
DOW JONES,Normal,0.99,0.0239647142468216,0.020075005515111405,0.0,2.4413604804429667e-08,0.18811881188118812,0.014264521282665754,9066
DOW JONES,Student-t,0.95,0.0146710059221118,0.06309287447606442,3.662276604199377e-08,4.570011036264532e-11,0.27722772277227725,0.0556886910875271,9066
DOW JONES,Student-t,0.99,0.0287367111436988,0.012243547319655858,0.03806695953654049,8.412719877282093e-06,0.14521452145214522,0.007645783407508844,9066
DOW JONES,EVT-GPD Rolling,0.95,,0.054549962806843544,0.06445802486592955,2.4966806400072983e-11,0.22442244224422442,0.04791961870410923,8066
DOW JONES,EVT-GPD Rolling,0.99,,0.014505331019092488,0.00013886230853510373,5.200306636765628e-05,0.11221122112211221,0.010691742882906093,8066
CITIGROUP,Normal,0.95,0.0462074703024965,0.02702702702702703,0.0,0.0,0.2739273927392739,0.018488929468157955,9065
CITIGROUP,Normal,0.99,0.0654348732423942,0.011472697186982902,0.16853335069587527,1.3322676295501878e-15,0.1617161716171617,0.006277105683633873,9065
CITIGROUP,Student-t,0.95,0.0361330611904854,0.04842801985659129,0.49007964375825863,0.0,0.33003300330033003,0.038689796850034236,9065
CITIGROUP,Student-t,0.99,0.0746849199440934,0.008714837286265858,0.2086254249690892,0.0,0.13861386138613863,0.0042227801871718785,9065
CITIGROUP,EVT-GPD Rolling,0.95,,0.05492589363557106,0.04604879169147624,0.0,0.29042904290429045,0.04568987833290189,8029
CITIGROUP,EVT-GPD Rolling,0.99,,0.015444015444015444,5.628209914676496e-06,5.451226137154208e-10,0.12871287128712872,0.011001812063163344,8029
